Problem:    floorplan
Rows:       729
Columns:    370 (370 integer, 343 binary)
Non-zeros:  2536
Status:     INTEGER NON-OPTIMAL
Objective:  obj = 6 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 obj                         6                             
   165 check3[11,8]              -13                          -0 
   166 check3[11,9]               -1                          -0 
   167 check3[11,10]
                                  -2                          -0 
   168 check3[11,11]
                                  -8                          -0 
   169 check3[11,12]
                                  -3                          -3 
   170 check3[11,13]
                                  -9                          -3 
   171 check3[12,1]                0                          -0 
   172 check3[12,2]               -1                          -0 
   173 check3[12,3]               -4                          -0 
   174 check3[12,4]               -5                          -0 
   175 check3[12,5]               -6                          -0 
   176 check3[12,6]               -7                          -0 
   177 check3[12,7]              -12                          -0 
   178 check3[12,8]              -13                          -0 
   179 check3[12,9]               -1                          -0 
   180 check3[12,10]
                                  -2                          -0 
   181 check3[12,11]
                                  -8                          -0 
   182 check3[12,12]
                                 -14                          -0 
   183 check3[12,13]
                                  -3                          -3 
   184 check3[13,1]                0                          -0 
   185 check3[13,2]               -1                          -0 
   186 check3[13,3]               -4                          -0 
   187 check3[13,4]               -5                          -0 
   188 check3[13,5]               -6                          -0 
   189 check3[13,6]               -7                          -0 
   190 check3[13,7]              -12                          -0 
   191 check3[13,8]              -13                          -0 
   192 check3[13,9]               -1                          -0 
   193 check3[13,10]
                                  -2                          -0 
   194 check3[13,11]
                                  -8                          -0 
   195 check3[13,12]
                                 -14                          -0 
   196 check3[13,13]
                                 -20                          -0 
   197 check4[1,1]                 0           -32               
   198 check4[1,2]                -1           -31               
   199 check4[1,3]                -4           -31               
   200 check4[1,4]                -5           -31               
   201 check4[1,5]                -6           -31               
   202 check4[1,6]                -9           -29               
   203 check4[1,7]               -12           -31               
   204 check4[1,8]               -13           -31               
   205 check4[1,9]                -1           -31               
   206 check4[1,10]               -5           -29               
   207 check4[1,11]              -11           -29               
   208 check4[1,12]              -17           -29               
   209 check4[1,13]              -20           -29               
   210 check4[2,1]                 0           -32               
   211 check4[2,2]                -1           -32               
   212 check4[2,3]                -3           -31               
   213 check4[2,4]                -4           -31               
   214 check4[2,5]                -5           -31               
   215 check4[2,6]                -8           -29               
   216 check4[2,7]               -11           -31               
   217 check4[2,8]               -12           -31               
   218 check4[2,9]                32           -31               
   219 check4[2,10]               -4           -29               
   220 check4[2,11]              -10           -29               
   221 check4[2,12]              -16           -29               
   222 check4[2,13]              -19           -29               
   223 check4[3,1]                 0           -32               
   224 check4[3,2]                -1           -32               
   225 check4[3,3]                -4           -32               
   226 check4[3,4]                -1           -31               
   227 check4[3,5]                -2           -31               
   228 check4[3,6]                -5           -29               
   229 check4[3,7]                -8           -31               
   230 check4[3,8]                -9           -31               
   231 check4[3,9]                35           -31               
   232 check4[3,10]               31           -29               
   233 check4[3,11]               -7           -29               
   234 check4[3,12]              -13           -29               
   235 check4[3,13]              -16           -29               
   236 check4[4,1]                 0           -32               
   237 check4[4,2]                -1           -32               
   238 check4[4,3]                -4           -32               
   239 check4[4,4]                -5           -32               
   240 check4[4,5]                -1           -31               
   241 check4[4,6]                -4           -29               
   242 check4[4,7]                -7           -31               
   243 check4[4,8]                -8           -31               
   244 check4[4,9]                36           -31               
   245 check4[4,10]               32           -29               
   246 check4[4,11]               -6           -29               
   247 check4[4,12]              -12           -29               
   248 check4[4,13]              -15           -29               
   249 check4[5,1]                 0           -32               
   250 check4[5,2]                -1           -32               
   251 check4[5,3]                -4           -32               
   252 check4[5,4]                -5           -32               
   253 check4[5,5]                -6           -32               
   254 check4[5,6]                -3           -29               
   255 check4[5,7]                -6           -31               
   256 check4[5,8]                -7           -31               
   257 check4[5,9]                37           -31               
   258 check4[5,10]               33           -29               
   259 check4[5,11]               -5           -29               
   260 check4[5,12]              -11           -29               
   261 check4[5,13]              -14           -29               
   262 check4[6,1]                 0           -32               
   263 check4[6,2]                -1           -32               
   264 check4[6,3]                -4           -32               
   265 check4[6,4]                -5           -32               
   266 check4[6,5]                -6           -32               
   267 check4[6,6]                -7           -32               
   268 check4[6,7]                -5           -31               
   269 check4[6,8]                -6           -31               
   270 check4[6,9]                38           -31               
   271 check4[6,10]               34           -29               
   272 check4[6,11]               28           -29               
   273 check4[6,12]              -10           -29               
   274 check4[6,13]              -13           -29               
   275 check4[7,1]                 0           -32               
   276 check4[7,2]                -1           -32               
   277 check4[7,3]                -4           -32               
   278 check4[7,4]                -5           -32               
   279 check4[7,5]                -6           -32               
